Age,Gender,Education Level,Job Title,Years of Experience,Salary,increased_salary
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
31.0,Male,Master's Degree,Software Engineer Manager,8.0,130000.0,156000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
43.0,Male,PhD,Senior Project Engineer,15.0,180000.0,216000.0
35.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0,168000.0
42.0,Male,Bachelor's Degree,Software Engineer Manager,12.0,160000.0,192000.0
28.0,Female,Bachelor's Degree,Front end Developer,2.0,55000.0,66000.0
44.0,Female,PhD,Senior Project Engineer,16.0,190000.0,228000.0
32.0,Male,Master's Degree,Back end Developer,7.0,120000.0,144000.0
48.0,Male,PhD,Software Engineer Manager,18.0,200000.0,240000.0
30.0,Female,Bachelor's Degree,Full Stack Engineer,5.0,100000.0,120000.0
34.0,Male,Master's Degree,Front end Developer,9.0,150000.0,180000.0
37.0,Female,Bachelor's Degree,Software Engineer Manager,11.0,170000.0,204000.0
26.0,Male,Bachelor's Degree,Back end Developer,2.0,65000.0,78000.0
49.0,Female,PhD,Senior Project Engineer,19.0,210000.0,252000.0
29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,90000.0,108000.0
41.0,Male,Master's Degree,Software Engineer Manager,14.0,180000.0,216000.0
31.0,Female,Bachelor's Degree,Front end Developer,6.0,110000.0,132000.0
37.0,Male,Master's Degree,Software Engineer Manager,10.0,150000.0,180000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
50.0,Male,PhD,Senior Project Engineer,18.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Female,PhD,Senior Project Engineer,16.0,185000.0,222000.0
33.0,Male,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Male,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Software Engineer Manager,20.0,210000.0,252000.0
31.0,Male,Bachelor's Degree,Back end Developer,6.0,95000.0,114000.0
39.0,Female,Master's Degree,Software Engineer Manager,11.0,170000.0,204000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
44.0,Female,PhD,Senior Project Engineer,16.0,190000.0,228000.0
32.0,Male,Master's Degree,Back end Developer,7.0,120000.0,144000.0
48.0,Male,PhD,Software Engineer Manager,19.0,200000.0,240000.0
30.0,Female,Bachelor's Degree,Full Stack Engineer,5.0,100000.0,120000.0
34.0,Male,Master's Degree,Front end Developer,9.0,150000.0,180000.0
37.0,Female,Bachelor's Degree,Software Engineer Manager,11.0,170000.0,204000.0
26.0,Male,Bachelor's Degree,Back end Developer,2.0,65000.0,78000.0
49.0,Female,PhD,Senior Project Engineer,19.0,210000.0,252000.0
29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,90000.0,108000.0
41.0,Male,Master's Degree,Software Engineer Manager,14.0,180000.0,216000.0
31.0,Female,Bachelor's Degree,Front end Developer,6.0,110000.0,132000.0
37.0,Male,Master's Degree,Software Engineer Manager,10.0,150000.0,180000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
50.0,Male,PhD,Senior Project Engineer,18.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,222000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,156000.0
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,126000.0
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,240000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,120000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,204000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,138000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,222000.0
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,108000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,192000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,96000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,234000.0
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,138000.0
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,162000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,78000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,228000.0
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,168000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
33.0,Female,Master's Degree,Data Analyst,7.0,95000.0,114000.0
22.0,Male,Bachelor's Degree,Front End Developer,1.0,50000.0,60000.0
44.0,Male,PhD,Senior Data Scientist,15.0,180000.0,216000.0
29.0,Female,Bachelor's Degree,Software Developer,3.0,65000.0,78000.0
31.0,Male,Master's Degree,Product Manager,6.0,120000.0,144000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
38.0,Male,Bachelor's Degree,Data Scientist,10.0,150000.0,180000.0
27.0,Male,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
46.0,Female,PhD,Director of Data Science,20.0,220000.0,264000.0
33.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,132000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,192000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0,240000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,132000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,192000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0,240000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,132000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,192000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0,240000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,132000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,192000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0,240000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,132000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,192000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0,240000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,132000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,72000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,192000.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,90000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0,240000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,120000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,66000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,204000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,108000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,96000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,216000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,72000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,144000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,84000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0,252000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,168000.0
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,60000.0
34.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,122485.0,146982.0
25.0,Male,PhD,Software Engineer Manager,12.0,169159.0,202990.8
43.0,Male,Master's Degree,Senior Software Engineer,21.0,187081.0,224497.19999999998
53.0,Other,High School,Senior Project Engineer,31.0,166109.0,199330.8
27.0,Female,Master's Degree,Front end Developer,5.0,78354.0,94024.8
25.0,Male,Bachelor's Degree,Back end Developer,2.0,90249.0,108298.8
29.0,Female,Master's Degree,Senior Software Engineer,6.0,132720.0,159264.0
52.0,Male,PhD,Software Engineer Manager,23.0,161568.0,193881.6
41.0,Male,Master's Degree,Front end Developer,13.0,127346.0,152815.19999999998
49.0,Female,Bachelor's Degree,Back end Developer,19.0,120177.0,144212.4
25.0,Other,High School,Full Stack Engineer,2.0,69032.0,82838.4
35.0,Male,Master's Degree,Senior Project Engineer,8.0,101332.0,121598.4
57.0,Female,PhD,Full Stack Engineer,30.0,121450.0,145740.0
35.0,Female,Bachelor's Degree,Senior Project Engineer,12.0,166375.0,199650.0
43.0,Male,Master's Degree,Senior Software Engineer,21.0,185119.0,222142.8
37.0,Female,Bachelor's Degree,Full Stack Engineer,10.0,149217.0,179060.4
50.0,Male,Master's Degree,Software Engineer Manager,21.0,166512.0,199814.4
52.0,Female,Master's Degree,Senior Software Engineer,28.0,186963.0,224355.6
26.0,Male,Bachelor's Degree,Back end Developer,3.0,75072.0,90086.4
34.0,Female,Master's Degree,Full Stack Engineer,10.0,163398.0,196077.6
30.0,Male,High School,Senior Project Engineer,11.0,103947.0,124736.4
60.0,Female,PhD,Software Engineer Manager,33.0,179180.0,215016.0
50.0,Male,Bachelor's Degree,Back end Developer,23.0,175966.0,211159.19999999998
58.0,Male,Master's Degree,Senior Software Engineer,27.0,190004.0,228004.8
35.0,Female,Master's Degree,Full Stack Engineer,10.0,152039.0,182446.8
28.0,Male,Master's Degree,Front end Developer,5.0,76742.0,92090.4
57.0,Female,PhD,Software Engineer Manager,33.0,191790.0,230148.0
46.0,Female,Bachelor's Degree,Senior Software Engineer,20.0,139398.0,167277.6
28.0,Male,High School,Back end Developer,7.0,95845.0,115014.0
34.0,Male,Master's Degree,Full Stack Engineer,12.0,160976.0,193171.19999999998
33.0,Female,Master's Degree,Senior Project Engineer,9.0,126753.0,152103.6
37.0,Other,Master's Degree,Full Stack Engineer,14.0,161393.0,193671.6
33.0,Male,Master's Degree,Senior Software Engineer,8.0,139817.0,167780.4
